x,y
10,600000000000001,9,681595160606049
10,700000000000003,9,56173487631725
10,8,9,391762473401666
10,900000000000002,9,191937891850182
11,8,986742839675534
11,100000000000001,8,802716902970909
11,200000000000003,8,66609406349602
11,3,8,600450674498061
11,400000000000002,8,624575080217983
11,5,8,750749423174401
11,600000000000001,8,983597518789905
11,700000000000003,9,319602262811372
11,8,9,747336375112003
11,900000000000002,10,248386701809881
12,10,798890474371724
12,100000000000001,11,371547380678459
12,200000000000003,11,937928909930626
12,3,12,4708799765208
12,400000000000002,12,946799669920198
12,5,13,347598846107706
12,600000000000001,13,662161199550951
12,700000000000003,13,88717884901489
12,8,14,027289369501855
12,900000000000002,14,094503612860207
13,14,106977006013219
13,100000000000001,14,087235639861728
13,200000000000003,14,060017127196883
13,3,14,049920567665916
13,400000000000002,14,079076943230271
13,5,14,16504936205236
13,600000000000001,14,319151943361618
13,700000000000003,14,54533863392254
13,8,14,839762219252531
13,900000000000002,15,191043799017587
14,15,58122939640139
14,100000000000001,15,987348848222668
14,200000000000003,16,383438173266914
14,3,16,742845061326342
14,400000000000002,17,04061167832429
14,5,17,255721918319345
14,600000000000001,17,373012183779295
14,700000000000003,17,384574675351182
14,8,17,290527352130585
14,900000000000002,17,099081148900744
15,16,82589766913196
15,100000000000001,16,492793818358397
15,200000000000003,16,125908053660545
15,3,15,753490902797648
15,400000000000002,15,403515866483543
15,5,15,101322771532567
15,600000000000001,14,867502666877702
15,700000000000003,14,7162117153642
15,8,14,654063165330816
15,900000000000002,14,67969481516658
16,14,78404902720067
16,1,14,95133869611276
16,200000000000003,15,16061131732337
16,3,15,38776990454193
16,400000000000002,15,607868742243262
16,5,15,797477469129836
16,6,15,936900959605914
16,700000000000003,16,012055439749428
16,8,16,015832082811812
16,900000000000002,15,948825223860867
17,15,81935921305467
17,1,15,64281071005493
17,200000000000003,15,440286298712184
17,3,15,236773035531762
17,400000000000002,15,05892677884999
17,5,14,9326956573727
17,6,14,880990921021878
17,700000000000003,14,921613342754405
17,8,15,065620669522453
17,900000000000002,15,316282377355483
18,15,6687156735935
18,1,16,110235979960905
18,200000000000003,16,621391444980333
18,3,17,177590060624546
18,400000000000002,17,751175141394658
18,5,18,313764980967264
18,6,18,83864899908767
18,700000000000003,19,303027727948468
18,8,19,68989800542758
18,900000000000002,19,98941648938021
19,20,1996212462951
19,1,20,326448532514036
19,200000000000003,20,38304485240236
19,3,20,38843732068922
19,400000000000002,20,365682653251703
19,5,20,33966164395951
19,6,20,334717598533384
19,700000000000003,20,372351066318235
19,8,20,469178099159077
19,900000000000002,20,635335630635172
20,20,873477521040098
